bread | pain | Brot | pan | pane | pão | रोटी | 面包 | хлеб | Brout
crusty | croûté | knusprig | crujiente | croccante | crocante | कुरकुरी | 酥脆 | корочка | knusprig
crispy | croustillant | knusprig | crujiente | croccante | crocante | कुरकुरी | 脆 | хрустящий | knusprig
slice | tranche | Scheibe | rebanada | fetta | fatia | स्लाइस | 切片 | ломтик | Scheif
bite | mordre | beißen | morder | mordere | morder | काटना | 咬 | укусить | beißen
prepare | préparer | vorbereiten | preparar | preparare | preparar | तैयार करना | 准备 | готовить | preparéieren
mix | mélanger | mischen | mezclar | mescolare | misturar | मिलाना | 混合 | смешивать | mischen
knead | pétrir | kneten | amasar | impastare | amassar | गूँथना | 揉捏 | замесить | kneden
bake | cuire | backen | hornear | cuocere | assar | सेंकना | 烘焙 | печь | baken
serve | servir | servieren | servir | servire | servir | परोसना | 供应 | подавать | déngen
choose | choisir | wählen | elegir | scegliere | escolher | चुनना | 选择 | выбирать | wielen
buy | acheter | kaufen | comprar | comprare | comprar | खरीदना | 买 | купить | kafen
take | prendre | nehmen | tomar | prendere | levar | लेना | 拿 | брать | huelen
order | commander | bestellen | ordenar | ordinare | pedir | आदेश देना | 订单 | заказывать | bestellen
eat | manger | essen | comer | mangiare | comer | खाना | 吃 | есть | iessen
taste | goûter | schmecken | probar | assaporare | saborear | चखना | 尝 | пробовать | schmaachen
smell | sentir | riechen | oler | annusare | cheirar | सूंघना | 闻 | нюхать | rosen
look | regarder | schauen | mirar | guardare | olhar | देखना | 看 | смотреть | kucken
nice | agréable | nett | bonito | bello | agradável | अच्छा | 漂亮 | хороший | schéin
simple | simple | einfach | simple | semplice | simples | सरल | 简单 | простой | einfach
delicious | délicieux | köstlich | delicioso | delizioso | delicioso | स्वादिष्ट | 美味 | вкусный | lecker
popular | populaire | beliebt | popular | popolare | popular | प्रसिद्ध | 流行 | популярный | populär
tasty | savoureux | schmackhaft | sabroso | gustoso | saboroso | स्वादिष्ट | 美味 | вкусный | schmaacht
brown | marron | braun | marrón | marrone | castanho | भूरा | 棕色 | коричневый | brong
white | blanc | weiß | blanco | bianco | branco | सफेद | 白色 | белый | wäiss
round | rond | rund | redondo | rotondo | redondo | गोल | 圆形 | круглый | rund
flat | plat | flach | plano | piatto | plano | चपटा | 平坦 | плоский | flach
large | grand | groß | grande | grande | grande | बड़ा | 大 | большой | grouss
small | petit | klein | pequeño | piccolo | pequeno | छोटा | 小 | маленький | kleng
breakfast | petit déjeuner | Frühstück | desayuno | colazione | café da manhã | नाश्ता | 早餐 | завтрак | Frühstück
snack | collation | Snack | bocadillo | spuntino | lanche | नाश्ता | 小吃 | перекус | Snack
treat | gâter | behandeln | tratar | trattare | tratar | व्यंजन | 款待 | угощение | behandelen
dessert | dessert | Nachtisch | postre | dessert | sobremesa | मिठाई | 甜点 | десерт | Dessert
afternoon | après-midi | Nachmittag | tarde | pomeriggio | tarde | दोपहर | 下午 | день | Mëzzdag
morning | matin | Morgen | mañana | mattina | manhã | सुबह | 早上 | утро | Moien
menu | menu | Speisekarte | menú | menù | menu | मेनू | 菜单 | меню | Menü
customer | client | Kunde | cliente | cliente | cliente | ग्राहक | 客户 | клиент | Client
