hearing | audition | Anhörung | audiencia | ascolto | audição | सुनवाई | 听证 | слушание | Vernehmung
responsibility | responsabilité | Verantwortung | responsabilidad | responsabilità | responsabilidade | ज़िम्मेदारी | 责任 | ответственность | Responsabilité
procedures | procédures | Verfahren | procedimientos | procedure | procedimentos | प्रक्रियाएँ | 程序 | процедуры | Prozeduren
rules | règles | Regeln | reglas | regole | regras | नियम | 规则 | правила | Reeglecher
regulations | règlements | Vorschriften | regulaciones | regolamenti | regulamentações | नियम | 规定 | регламенты | règlementer
commitment | engagement | Verpflichtung | compromiso | impegno | compromisso | प्रतिबद्धता | 承诺 | обязательство | Engagement
breach | violation | Verstoß | incumplimiento | violazione | violação | उल्लंघन | 违反 | нарушение | Verletzung
honesty | honnêteté | Ehrlichkeit | honestidad | onestà | honestidade | ईमानदारी | 诚实 | честность | Eerlichkeit
failure | échec | Misserfolg | fracaso | fallimento | falha | असफलता | 失败 | неудача | Mëssuccess
defendant | défendeur | Beklagter | demandado | convenuto | réu | प्रतिवादी | 被告 | ответчик | Beklagten
penalty | pénalité | Strafe | pena | pena | penalidade | दंड | 罚款 | штраф | Strof
admission | admission | Zulassung | admisión | ammissione | admissão | स्वीकृति | 录取 | признание | Zulassung
discussion | discussion | Diskussion | discusión | discussione | discussão | Discussion | 讨论 | обсуждение | Diskussioun
findings | résultats | Ergebnisse | hallazgos | risultati | descobertas | निष्कर्ष | 发现 | выводы | Fongen
record | dossier | Datensatz | registro | registro | registro | रिकॉर्ड | 记录 | запись | Record
opportunity | opportunité | Gelegenheit | oportunidad | opportunità | oportunidade | अवसर | 机会 | возможность | Geleeënheet
confrontation | confrontation | Konfrontation | confrontación | confronto | confrontação | टकराव | 对抗 | конфронтация | Konfrontatioun
consequence | conséquence | Folge | consecuencia | conseguenza | consequência | परिणाम | 后果 | последствие | Konsequenz
interview | entretien | Interview | entrevista | colloquio | entrevista | इंटरव्यू | 面试 | интервью | Interview
support | soutien | Unterstützung | apoyo | supporto | apoio | समर्थन | 支持 | поддержка | Ënnerstëtzung
referee | arbitre | Schiedsrichter | árbitro | arbitro | árbitro | árbitro | 裁判 | судья | Schiedsrichter
testify | témoigner | aussagen | testificar | testimoniare | testemunhar | गवाही देना | 证实 | свидетельствовать | aussagen
resolution | résolution | Beschluss | resolución | risoluzione | resolução | संकल्प | 决议 | резолюция | Résultat
discussion | discussion | Diskussion | discusión | discussione | discussão | चर्चा | 讨论 | обсуждение | Discutéieren
outcome | résultat | Ergebnis | resultado | risultato | resultado | परिणाम | 结果 | результат | Resultat
reputation | réputation | Ruf | reputación | reputazione | reputação | प्रतिष्ठा | 声誉 | репутация | Ruff
contribution | contribution | Beitrag | contribución | contribuzione | contribuição | योगदान | 贡献 | вклад | Beitrag
rectify | rectifier | korrigieren | rectificar | rettificare | corrigir | सुधारना | 纠正 | исправить | korrigéieren
insight | insight | Einsicht | visión | intuizione | percepção | अंतर्दृष्टि | 见解 | понимание | Einsicht
explanation | explication | Erklärung | explicación | spiegazione | explicação | स्पष्टीकरण | 解释 | объяснение | Erklärung
penalty | peine | Strafe | penalización | pena | penalidade | दंड | 惩罚 | штраф | Stroft
remedy | remède | Heilmittel | remedio | rimedio | remédio | उपाय | 补救 | средство | Remedy
compliance | conformité | Einhaltung | cumplimiento | conformità | conformidade | अनुपालन | 合规 | соблюдение | Konformitéit
cooperation | coopération | Zusammenarbeit | cooperación | cooperazione | cooperação | सहयोग | 合作 | сотрудничество | Zesummenaarbecht
regard | considération | Rücksicht | respeto | considerazione | consideração | ध्यान | 考虑 | внимание | Berücksichtigung
assistance | assistance | Unterstützung | asistencia | assistenza | assistência | सहायता | 帮助 | помощь | Hëllef
clarification | clarification | Klarstellung | aclaración | chiarimento | esclarecimento | स्पष्टता | 澄清 | разъяснение | Klärung
