utility | utilité | Nutzen | utilidad | utilità | utilidade | उपयोग | 实用 | утилита | Utilitéit
negotiate | négocier | verhandeln | negociar | negoziare | negociar | बातचीत करना | 谈判 | вести переговоры | verhandelen
savings | économies | Ersparnisse | ahorros | risparmi | economias | बचत | 储蓄 | сбережения | Spuersen
benefit | avantage | Vorteil | beneficio | beneficio | benefício | लाभ | 利益 | выгода | Virdeel
comparison tool | outil de comparaison | Vergleichstool | herramienta de comparación | strumento di confronto | ferramenta de comparação | तुलना उपकरण | 比较工具 | инструмент сравнения | Vergläichsinstrument
calculator | calculatrice | Taschenrechner | calculadora | calcolatrice | calculadora | कैलकुलेटर | 计算器 | калькулятор | Rechner
analysis | analyse | Analyse | análisis | analisi | análise | विश्लेषण | 分析 | анализ | Analyse
supplier | fournisseur | Lieferant | proveedor | fornitore | fornecedor | सप्लायर | 供应商 | поставщик | Fournisseur
terms | termes | Bedingungen | términos | termini | termos | शर्तें | 条款 | условия | Bedingunge
conditions | conditions | Bedingungen | condiciones | condizioni | condições | स्थितियाँ | 条件 | условия | Bedingungen
payment | paiement | Zahlung | pago | pagamento | pagamento | भुगतान | 付款 | платеж | Zomm
method | méthode | Methode | método | metodo | método | विधि | 方法 | метод | Method
customer | client | Kunde | cliente | cliente | cliente | ग्राहक | 客户 | клиент | Client
support | soutenir | unterstützen | apoyar | sostenere | apoiar | समर्थन | 支持 | поддержка | stützen
meter | mètre | Meter | metro | metro | metro | मीटर | 米 | метр | Meter
demand | demande | Nachfrage | demanda | domanda | demanda | माँग | 需求 | спрос | Forderung
supply | approvisionnement | Versorgung | suministro | fornitura | suprimento | आपूर्ति | 供应 | предложение | Lieferung
renewable | renouvelable | erneuerbar | renovable | rinnovabile | renovável | नवीकरणीय | 可再生 | возобновляемый | erneierbar
traditional | traditionnel | traditionell | tradicional | tradizionale | tradicional | पारंपरिक | 传统 | традиционный | traditionell
green | vert | grün | verde | verde | verde | हरा | 绿色 | зеленый | gréng
efficiency | efficacité | Effizienz | eficiencia | efficienza | eficiência | दक्षता | 效率 | эффективность | Effizienz
impact | impact | Einfluss | impacto | impatto | impacto | प्रभाव | 影响 | влияние | Impakt
environment | environnement | Umwelt | medio ambiente | ambiente | meio ambiente | पर्यावरण | 环境 | окружающая среда | Ëmwelt
investigate | enquêter | untersuchen | investigar | investigare | investigar | जांचना | 调查 | расследовать | ënvestigéieren
research | recherche | Forschung | investigación | ricerca | pesquisa | अनुसंधान | 研究 | исследование | Recherche
decision | décision | Entscheidung | decisión | decisione | decisão | निर्णय | 决定 | решение | Decisioun
selection | sélection | Auswahl | selección | selezione | seleção | चयन | 选择 | отбор | Selektioun
beneficiary | bénéficiaire | Begünstigter | beneficiario | beneficiario | beneficiário | लाभार्थी | 受益者 | бенефициар | Beneficiaire
preference | préférence | Vorliebe | preferencia | preferenza | preferência | प्राथमिकता | 偏好 | предпочтение | Preferenz
options | options | Optionen | opciones | opzioni | opções | विकल्प | 选项 | опции | Optionen
market | marché | Markt | mercado | mercato | mercado | बाजार | 市场 | рынок | Maart
incentive | incitation | Anreiz | incentivo | incentivo | incentivo | प्रोत्साहन | 激励 | стимул | Incentiv
regulation | réglementation | Regulierung | regulación | regolamento | regulação | विनियम | 规章 | регулирование | Regelung
law | loi | Gesetz | ley | legge | lei | कानून | 法律 | закон | Gesetz
subscription | abonnement | Abonnement | suscripción | abbonamento | assinatura | सदस्यता | 订阅 | подписка | Abonnements
notification | notification | Benachrichtigung | notificación | notifica | notificação | सूचना | 通知 | уведомление | Notifizéierung
timeline | chronologie | Zeitachse | línea de tiempo | cronologia | linha do tempo | समयरेखा | 时间线 | линия времени | Zeitatlas
review | réviser | überprüfen | revisar | rivedere | revisar | समीक्षा करना | 复习 | рецензия | durchsehen
