volunteer | bénévole | Freiwilliger | voluntario | volontario | voluntário | स्वयंसेवक | 志愿者 | волонтер | freiwillig
orientation | orientation | Orientierung | orientación | orientamento | orientação | दिशा | 方向 | ориентация | Orientierung
objectives | objectifs | Ziele | objetivos | obiettivi | objetivos | लक्ष्य | 目标 | цели | Ziele
interaction | interaction | Interaktion | interacción | interazione | interação | इंटरैक्शन | 互动 | взаимодействие | Interaktion
planning | planification | Planung | planificación | pianificazione | planejamento | योजना | 计划 | планирование | Planung
policy | politique | Politik | política | politica | política | नीति | 政策 | политика | Politik
contribution | contribution | Beitrag | contribución | contributo | contribuição | योगदान | 贡献 | вклад | Beitrag
reflection | réflexion | Reflexion | reflexión | riflessione | reflexão | चिंतन | 反思 | размышление | Reflexion
engagement | engagement | Engagement | compromiso | impegno | engajamento | प्रतिबद्धता | 参与 | участие | Engagement
self-awareness | conscience de soi | Selbstbewusstsein | autoconocimiento | consapevolezza di sé | autoconsciência | आत्म-जागरूकता | 自我意识 | самоосознание | Selbstbewosstsein
learning | apprentissage | Lernen | aprendizaje | apprendimento | aprendizado | शिक्षा | 学习 | обучение | Léieren
network | réseau | Netzwerk | red | rete | rede | नेटवर्क | 网络 | сеть | Netzwierk
well-being | bien-être | Wohlbefinden | bienestar | benessere | bem-estar | कल्याण | 幸福 | благополучие | Wuelbeing
commitment | engagement | Engagement | compromiso | impegno | compromisso | प्रतिबद्धता | 承诺 | обязательство | Engagement
community-building | construction de communauté | Gemeinschaftsbildung | construcción de comunidad | costruzione della comunità | construção de comunidade | समुदाय निर्माण | 社区建设 | строительство сообщества | Gemeinschaftsbau
outreach | sensibilisation | Reichweite | alcance | sensibilizzazione | divulgação | बाहर जाना | 外展 | охват | Outreach
service | service | Dienst | servicio | servizio | serviço | सेवा | 服务 | услуга | Service
recognition | reconnaissance | Anerkennung | reconocimiento | riconoscimento | reconhecimento | पहचान | 识别 | признание | Erkennung
