research | recherche | Forschung | investigación | ricerca | pesquisa | अनुसंधान | 研究 | исследование | Fuerschung
feedback | retour | Rückmeldung | retroalimentación | feedback | feedback | फीडबैक | 反馈 | отзыв | Rückmeldung
complaints | plaintes | Beschwerden | quejas | reclami | reclamações | शिकायतें | 投诉 | жалобы | Beschwerde
disputes | différends | Streitigkeiten | disputas | controversie | disputas | विवाद | 争议 | споры | Streitfälle
review board | comité de révision | Prüfungsausschuss | junta de revisión | comitato di revisione | comissão de revisão | समीक्षा बोर्ड | 评审委员会 | ревизионная комиссия | Revisionscomité
protocol amendment | amendement de protocole | Protokolländerung | enmienda del protocolo | emendamento del protocollo | emenda de protocolo | प्रोटोकॉल संशोधन | 协议修正 | изменение протокола | Protokollännerung
experiment | expérience | Experiment | experimento | esperimento | experimento | प्रयोग | 实验 | эксперимент | Experiment
observational | observationnel | beobachtend | observacional | osservativo | observacional | प्रेक्षणात्मक | 观察的 | наблюдательный | Observational
quantitative | quantitatif | quantitativ | cuantitativo | quantitativo | quantitativo | मात्रात्मक | 定量的 | количественный | Quantitativ
qualitative | qualitatif | qualitativ | cualitativo | qualitativo | qualitativo | गुणात्मक | 定性 | качественный | Qualitativ
analysis plan | plan d'analyse | Analyseplan | plan de análisis | piano di analisi | plano de análise | विश्लेषण योजना | 分析计划 | план анализа | Analyseplang
data protection | protection des données | Datenschutz | protección de datos | protezione dei dati | proteção de dados | डेटा संरक्षण | 数据保护 | защита данных | Datenscéierung
ethical standards | normes éthiques | ethische Standards | estándares éticos | standard etici | padrões éticos | नैतिक मानक | 伦理标准 | этические нормы | ethesch Norme
researcher | chercheur | Forscher | investigador | ricercatore | pesquisador | शोधकर्ता | 研究员 | исследователь | Fuerscher
supervisor | superviseur | Vorgesetzter | supervisor | supervisore | supervisor | पर्यवेक्षक | 监督者 | руководитель | Superviiseur
institutional | institutionnel | institutionell | institucional | istituzionale | institucional | संस्थागत | 机构的 | институциональный | institutionell
compliance | conformité | Compliance | cumplimiento | conformità | conformidade | अनुपालन | 合规 | соблюдение | Konformitéit
safeguards | garanties | Schutzmaßnahmen | salvaguardas | garanzie | salvaguardas | सुरक्षाएँ | 保障措施 | гарантии | Garantien
criteria | critères | Kriterien | criterios | criteri | critérios | मानदंड | 标准 | критерии | Kriteren
justification | justification | Rechtfertigung | justificación | giustificazione | justificativa | औचित्य | 理由 | оправдание | Justifikatioun
outcomes | résultats | Ergebnisse | resultados | risultati | resultados | परिणाम | 结果 | результаты | Ausgänge
