residence permit | titre de séjour | Aufenthaltserlaubnis | permiso de residencia | permesso di soggiorno | autorização de residência | निवास परमिट | 居留许可 | вид на жительство | Aufenthaltsgenehmigung
status | statut | Status | estado | stato | estado | स्थिति | 状态 | статус | Status
extension | extension | Erweiterung | extensión | estensione | extensão | विस्तार | 扩展 | продление | Erweiterung
portal | portail | Portal | portal | portale | portal | पोर्टल | 门户 | портал | Portal
processing | traitement | Verarbeitung | procesamiento | elaborazione | processamento | प्रसंस्करण | 处理 | обработка | Verarbeitung
slot | créneau | Slot | ranura | slot | slot | स्लॉट | 插槽 | слот | Slot
case | cas | Fall | caso | caso | caso | मामला | 案件 | случай | Fall
letter | lettre | Brief | carta | lettera | carta | पत्र | 信件 | письмо | Bréif
apply | appliquer | anwenden | aplicar | applicare | aplicar | लागू करना | 申请 | применять | appliquer
renew | renouveler | erneuern | renovar | rinnovare | renovar | नवीनीकरण | 更新 | обновить | erneieren
submit | soumettre | einreichen | presentar | presentare | submeter | प्रस्तुत करना | 提交 | подавать | einreichen
provide | fournir | bereitstellen | proporcionar | fornire | fornecer | देना | 提供 | предоставлять | fournir
fill in | remplir | ausfüllen | llenar | riempire | preencher | भरना | 填写 | заполнять | ausfüllen
sign | signer | unterschreiben | firmar | firmare | assinar | हस्ताक्षर करना | 签名 | подписывать | подписи
check | vérifier | prüfen | comprobar | controllare | checar | जांचना | 检查 | проверять | überprüfen
wait | attendre | warten | esperar | aspettare | esperar | इंतज़ार करना | 等待 | ждать | warten
receive | recevoir | erhalten | recibir | ricevere | receber | प्राप्त करना | 接收 | получать | empfangen
collect | collecter | sammeln | coleccionar | raccogliere | coletar | इकट्ठा करना | 收集 | собирать | sammeln
schedule | programmer | planen | programar | programmare | agendar | अनुसूची बनाना | 安排 | планировать | planen
reschedule | reprogrammer | neu planen | reprogramar | riprogrammare | reagendar | फिर से अनुसूची बनाना | 重新安排 | перенести | neu ansetzen
cancel | annuler | stornieren | cancelar | annullare | cancelar | रद्द करना | 取消 | отменить | annulléieren
upload | télécharger | hochladen | subir | caricare | carregar | अपलोड करना | 上传 | загружать | eroplueden
print | imprimer | drucken | imprimir | stampare | imprimir | प्रिंट करना | 打印 | печатать | drécken
scan | scanner | scannen | escanear | scannerizzare | escanear | स्कैन करना | 扫描 | сканировать | scannen
attach | attacher | anhängen | adjuntar | allegare | anexar | अटैच करना | 附加 | прикрепить | attacheren
update | mettre à jour | aktualisieren | actualizar | aggiornare | atualizar | अपडेट करना | 更新 | обновить | updaten
verify | vérifier | verifizieren | verificar | verificare | verificar | सत्यापित करना | 验证 | проверить | verifizieren
pay | payer | bezahlen | pagar | pagare | pagar | भुगतान करना | 支付 | платить | bezuelen
valid | valide | gültig | válido | valido | válido | वैध | 有效 | действительный | valabel
expired | expiré | abgelaufen | expirado | scaduto | expirado | समाप्त | 过期 | истек | abgelaf
current | actuel | aktuell | actual | attuale | atual | वर्तमान | 当前 | текущий | aktuell
temporary | temporaire | vorübergehend | temporal | temporaneo | temporário | अस्थायी | 临时 | временный | temporär
permanent | permanent | dauerhaft | permanente | permanente | permanente | स्थायी | 永久的 | постоянный | permanent
eligible | éligible | berechtigt | elegible | idoneo | elegível | योग्य | 合格的 | подходящий | eligibel
required | requis | erforderlich | requerido | richiesto | necessário | आवश्यक | 必需的 | обязательный | erforderlech
missing | manquant | fehlend | faltante | mancante | ausente | गायब | 丢失的 | отсутствующий | feierend
delayed | retardé | verspätet | retrasado | ritardato | atrasado | विलंबित | 延误的 | задержанный | verspät
urgent | urgent | dringend | urgente | urgente | urgente | तात्कालिक | 紧急的 | срочный | dringlech
local | local | lokal | local | locale | local | स्थानीय | 本地的 | местный | lokal
official | officiel | amtlich | oficial | ufficiale | oficial | आधिकारिक | 官方的 | официальный | offiziell
legal | légal | legal | legal | legale | legal | कानूनी | 合法 | законный | gesetzlech
