landlord | propriétaire | Vermieter | inquilino | locatario | senhorio | मकान मालिक | 房东 | арендодатель | Hausbesitzer
agree | d'accord | zustimmen | estar de acuerdo | concordare | concordar | सहमत होना | 同意 | соглашаться | zustimmen
disagree | ne pas être d'accord | nicht zustimmen | estar en desacuerdo | non concordare | discordar | असहमत होना | 不同意 | не соглашаться | neduerfen
respond | répondre | antworten | responder | rispondere | responder | प्रतिक्रिया देना | 回应 | отвечать | äntwerten
reduce | réduire | reduzieren | reducir | ridurre | reduzir | कम करना | 减少 | уменьшать | reduzéieren
increase | augmenter | erhöhen | aumentar | aumentare | aumentar | बढ़ाना | 增加 | увеличивать | erhéijen
adjust | ajuster | anpassen | ajustar | regolare | ajustar | समायोजित करना | 调整 | регулировать | ajustéieren
renew | renouveler | erneuern | renovar | rinnovare | renovar | नवीनीकरण करना | 更新 | обновлять | erneieren
sign | signer | unterschreiben | firmar | firmare | assinar | हस्ताक्षर करना | 签署 | подписывать | ënnerschreiwen
pay | payer | zahlen | pagar | pagare | pagar | भुगतान करना | 付款 | платить | bezuelen
confirm | confirmer | bestätigen | confirmar | confermare | confirmar | पुष्टि करना | 确认 | подтвердить | Bestätegen
schedule | planifier | planen | programar | pianificare | agendar | कार्यक्रम बनाना | 安排 | расписание | terminéieren
move out | déménager | ausziehen | mudarse | traslocare | mudar-se | बाहर जाना | 搬出 | выехать | wegzéien
fair | juste | fair | justo | equo | justo | उचित | 公平 | справедливый | gerecht
reasonable | raisonnable | vernünftig | razonable | ragionevole | razoável | उचित | 合理 | разумный | raisonnabel
affordable | abordable | erschwinglich | asequible | accessibile | acessível | वहन करने योग्य | 合理的 | доступный | bezuelbar
expensive | cher | teuer | caro | costoso | caro | महंगा | 昂贵 | дорогой | deier
flexible | flexible | flexibel | flexible | flessibile | flexível | लचीला | 灵活 | гибкий | flexibel
firm | ferme | fest | firme | solido | firme | दृढ़ | 坚定 | твердый | fest
polite | poli | höflich | educado | cortese | educado | विनम्र | 有礼貌 | вежливый | höflech
respectful | respectueux | respektvoll | respetuoso | rispettoso | respeitoso | सम्मानजनक | 尊重 | уважительный | respektvoll
clear | clair | klar | claro | chiaro | claro | स्पष्ट | 清晰 | ясный | kloer
honest | honnête | ehrlich | honesto | onesto | honesto | ईमानदार | 诚实 | честный | éierlech
urgent | urgent | dringend | urgente | urgente | urgente | तत्काल | 紧急 | срочный | dréngend
written | écrit | geschrieben | escrito | scritto | escrito | लिखित | 书面 | письменный | geschriwwen
legal | légal | legal | legal | legale | legal | कानूनी | 合法 | законный | gesetzlech
