utility | utilité | Nutznießung | utilidad | utilità | utilidade | उपयोगिता | 效用 | полезность | Nutzungsrecht
attach | attacher | anhängen | adjuntar | allegare | anexar | संलग्न करना | 附加 | прикрепить | ugebonnen
upload | télécharger | hochladen | subir | caricare | fazer upload | अपलोड करना | 上传 | загрузить | eroplueden
schedule | horaire | Zeitplan | horario | programma | cronograma | कार्यक्रम | 计划 | расписание | Zäitplan
connect | se connecter | verbinden | conectar | collegare | conectar | जोड़ना | 连接 | подключить | verbannen
install | installer | installieren | instalar | installare | instalar | स्थापित करना | 安装 | установить | installéieren
verify | vérifier | überprüfen | verificar | verificare | verificar | सत्यापित करना | 验证 | подтвердить | veriféieren
read | lire | lesen | leer | leggere | ler | पढ़ना | 阅读 | читать | liesen
contact | contacter | kontaktieren | contactar | contattare | contatar | संपर्क करना | 联系 | контактировать | kontaktéieren
monthly | mensuel | monatlich | mensual | mensile | mensal | मासिक | 每月 | ежемесячный | monatlech
annual | annuel | jährlich | anual | annuale | anual | वार्षिक | 年度 | ежегодный | jAnnual
final | final | endgültig | final | finale | final | अंतिम | 最终 | финальный | final
basic | de base | grundlegend | básico | di base | básico | मूल | 基础 | базовый | grondsätzlech
standard | standard | Standard | estándar | standard | padrão | मानक | 标准 | стандарт | Standard
fixed | fixe | fest | fijo | fisso | fixo | निश्चित | 固定 | фиксированный | fest
variable | variable | variabel | variable | variabile | variável | परिवर्तनशील | 可变 | переменная | variabel
available | disponible | verfügbar | disponible | disponibile | disponível | उपलब्ध | 可用 | доступный | verfügbar
local | local | lokal | local | locale | local | स्थानीय | 当地 | местный | lokal
current | actuel | aktuell | actual | attuale | atual | वर्तमान | 当前 | текущий | aktuell
previous | précédent | vorhergehende | anterior | precedente | anterior | पूर्ववर्ती | 之前 | предыдущий | vorhergehende
total | total | insgesamt | total | totale | total | कुल | 总计 | итого | total
late | tard | spät | tarde | in ritardo | atrasado | देर | 晚 | поздно | spéit
start date | date de début | Startdatum | fecha de inicio | data di inizio | data de início | प्रारंभ तिथि | 开始日期 | дата начала | Startdatum
meter reading | relevé du compteur | Zählerstand | lectura del medidor | lettura del contatore | leitura do medidor | मीटर रीडिंग | 表读数 | показание счетчика | Zählerstand
account number | numéro de compte | Kontonummer | número de cuenta | numero di conto | número de conta | खाता संख्या | 帐号 | номер счёта | Kontonummer
customer service | service client | Kundenservice | servicio al cliente | servizio clienti | atendimento ao cliente | ग्राहक सेवा | 客户服务 | служба поддержки | Clientëservice
move in | emménager | einziehen | mudarse | trasferirsi | mudar-se | में प्रवेश करना | 搬入 | вселяться | emménager
proof of address | justificatif de domicile | Adressnachweis | comprobante de domicilio | prova di residenza | comprovante de residência | पते का प्रमाण | 地址证明 | подтверждение адреса | Beweis vun der Adress
