visa extension | prolongation de visa | Visumerweiterung | extensión de visa | proroga di visto | prorrogação de visto | विज़ा विस्तार | 签证延长 | продление визы | Visaverlängerung
collect | collecter | sammeln | recoger | raccogliere | coletar | इकट्ठा करना | 收集 | собирать | sammelen
bring | apporter | bringen | traer | portare | trazer | लाना | 带来 | приносить | brengen
prepare | préparer | vorbereiten | preparar | preparare | preparar | तैयार करना | 准备 | готовить | preparar
verify | vérifier | überprüfen | verificar | verificare | verificar | सत्यापित करना | 验证 | проверять | verifiéieren
expire | expirer | ablaufen | expirar | scadere | expirar | समाप्त होना | 过期 | истечь | auslafen
valid | valide | gültig | válido | valido | válido | मान्य | 有效 | действительный | gülteg
expired | expiré | abgelaufen | expirado | scaduto | expirado | समाप्त | 过期的 | истекший | auslafeg
legal | légal | legal | legal | legale | legal | कानूनी | 合法的 | юридический | gesetzlech
urgent | urgent | dringend | urgente | urgente | urgente | आपातकालीन | 紧急 | срочный | dringend
necessary | nécessaire | notwendig | necesario | necessario | necessário | आवश्यक | 必要 | необходимый | notwendig
original | original | ursprünglich | original | originale | original | मूल | 原始 | оригинальный | originell
official | officiel | offiziell | oficial | ufficiale | oficial | आधिकारिक | 官方 | официальный | officiel
online | en ligne | online | en línea | online | online | ऑनलाइन | 在线 | онлайн | online
local | local | lokal | local | locale | local | स्थानीय | 本地 | местный | lokal
eligible | éligible | berechtigt | elegible | idoneo | elegível | योग्य | 资格 | подходящий | berechtigt
available | disponible | verfügbar | disponible | disponibile | disponível | उपलब्ध | 可用 | доступный | verfügbar
correct | correct | korrekt | correcto | corretto | correto | सही | 正确 | правильный | korrekt
complete | complet | komplett | completo | completo | completo | पूरा | 完整 | полный | komplett
